day,total_players,total_stickers,total_scans,total_points_earned,total_revenue,whale_count,grinder_count,casual_count,avg_points_per_player,avg_scans_per_player
1,160,320,0,3278.0,0.0,10,50,100,20.4875,9.6875
2,160,320,0,3397.0,0.0,10,50,100,21.23125,9.94375
3,160,320,0,3407.5,0.0,10,50,100,21.296875,9.825
4,160,320,0,3487.5,0.0,10,50,100,21.796875,9.88125
5,160,320,0,3494.5,0.0,10,50,100,21.840625,9.78125
6,160,320,0,3591.0,0.0,10,50,100,22.44375,9.90625
7,160,320,0,3596.5,0.0,10,50,100,22.478125,9.8875
8,160,368,0,3972.0,72.0,10,50,100,24.825,9.98125
9,160,368,0,3964.5,72.0,10,50,100,24.778125,9.8875
10,160,368,0,4044.5,72.0,10,50,100,25.278125,10.01875
11,160,368,0,4109.0,72.0,10,50,100,25.68125,10.06875
12,160,368,0,4061.5,72.0,10,50,100,25.384375,10.0125
13,160,368,0,4128.5,72.0,10,50,100,25.803125,9.91875
14,160,368,0,4098.5,72.0,10,50,100,25.615625,9.75625
15,160,420,0,4298.0,150.0,10,50,100,26.8625,9.63125
16,160,420,25258,4353.5,150.0,10,50,100,27.209375,9.675
17,160,420,0,4406.5,150.0,10,50,100,27.540625,9.9125
18,160,420,0,4382.5,150.0,10,50,100,27.390625,9.6625
19,160,420,0,4509.5,150.0,10,50,100,28.184375,9.8875
20,160,420,0,4551.0,150.0,10,50,100,28.44375,10.00625
21,160,492,0,4641.0,258.0,10,50,100,29.00625,10.16875
22,160,544,0,4547.0,336.0,10,50,100,28.41875,9.81875
23,160,544,0,4565.5,336.0,10,50,100,28.534375,9.78125
24,160,544,0,4704.5,336.0,10,50,100,29.403125,10.01875
25,160,544,0,4663.0,336.0,10,50,100,29.14375,9.80625
26,160,544,0,4671.5,336.0,10,50,100,29.196875,9.6875
27,160,544,0,4670.5,336.0,10,50,100,29.190625,9.84375
28,160,544,0,4730.0,336.0,10,50,100,29.5625,9.85
29,160,592,0,4792.5,408.0,10,50,100,29.953125,9.8375
30,160,592,0,4776.5,408.0,10,50,100,29.853125,9.5875
