id,player_type,level,total_points,stickers_owned,money_spent
1,whale,1,2670.5,154,61.003689459902525
2,whale,1,2243.5,130,53.45294008802333
3,whale,1,2447.5,138,57.54506596187403
4,whale,1,2476.0,130,54.82067397554259
5,whale,1,2773.5,170,68.50751101160397
6,whale,1,2542.5,138,54.878853204525896
7,whale,1,2425.5,114,47.880514779084265
8,whale,1,2641.0,138,55.587386198534944
9,whale,1,2560.5,170,68.32796810221367
10,whale,1,1963.5,114,48.95471999630212
11,grinder,1,711.5,34,0.0
12,grinder,1,758.0,34,0.0
13,grinder,1,669.0,34,0.0
14,grinder,1,742.0,34,0.0
15,grinder,1,722.5,34,0.0
16,grinder,1,483.0,43,0.0
17,grinder,1,674.5,34,0.0
18,grinder,1,651.0,34,0.0
19,grinder,1,668.5,34,0.0
20,grinder,1,655.0,34,0.0
21,grinder,1,580.0,34,0.0
22,grinder,1,564.5,34,0.0
23,grinder,1,665.5,26,0.0
24,grinder,1,608.0,34,0.0
25,grinder,1,638.5,34,0.0
26,grinder,1,574.0,34,0.0
27,grinder,1,598.0,34,0.0
28,grinder,1,652.5,34,0.0
29,grinder,1,587.5,34,0.0
30,grinder,1,564.5,34,0.0
31,grinder,1,587.0,34,0.0
32,grinder,1,504.0,34,0.0
33,grinder,1,532.5,34,0.0
34,grinder,1,651.0,26,0.0
35,grinder,1,579.5,34,0.0
36,grinder,1,493.5,34,0.0
37,grinder,1,580.5,26,0.0
38,grinder,1,472.0,34,0.0
39,grinder,1,660.0,26,0.0
40,grinder,1,463.0,34,0.0
41,grinder,1,495.5,34,0.0
42,grinder,1,578.0,26,0.0
43,grinder,1,586.0,26,0.0
44,grinder,1,570.0,26,0.0
45,grinder,1,612.5,26,0.0
46,grinder,1,572.0,26,0.0
47,grinder,1,334.5,35,0.0
48,grinder,1,568.0,26,0.0
49,grinder,1,298.0,35,0.0
50,grinder,1,447.5,34,0.0
51,grinder,1,385.0,34,0.0
52,grinder,1,303.0,35,0.0
53,grinder,1,565.0,26,0.0
54,grinder,1,569.5,26,0.0
55,grinder,1,561.5,26,0.0
56,grinder,1,259.5,35,0.0
57,grinder,1,570.5,26,0.0
58,grinder,1,552.0,26,0.0
59,grinder,1,362.0,34,0.0
60,grinder,1,415.5,34,0.0
61,casual,1,102.5,26,3.0
62,casual,1,157.0,18,0.0
63,casual,1,161.5,26,3.0
64,casual,1,289.5,18,3.0
65,casual,1,328.0,10,0.0
66,casual,1,93.5,18,0.0
67,casual,1,116.0,18,0.0
68,casual,1,133.5,26,3.0
69,casual,1,319.0,10,0.0
70,casual,1,114.5,26,3.0
71,casual,1,320.5,18,3.0
72,casual,1,91.5,18,0.0
73,casual,1,92.0,18,0.0
74,casual,1,104.5,26,3.0
75,casual,1,119.0,26,3.0
76,casual,1,133.0,26,3.0
77,casual,1,127.5,18,0.0
78,casual,1,135.5,26,3.0
79,casual,1,113.0,26,3.0
80,casual,1,88.5,26,3.0
81,casual,1,111.5,18,0.0
82,casual,1,145.5,18,0.0
83,casual,1,325.0,10,0.0
84,casual,1,121.0,26,3.0
85,casual,1,276.5,18,3.0
86,casual,1,165.0,26,3.0
87,casual,1,150.5,26,3.0
88,casual,1,130.5,18,0.0
89,casual,1,139.0,18,0.0
90,casual,1,140.0,18,0.0
91,casual,1,119.5,26,3.0
92,casual,1,105.5,18,0.0
93,casual,1,92.0,18,0.0
94,casual,1,71.5,26,3.0
95,casual,1,110.0,18,0.0
96,casual,1,102.0,18,0.0
97,casual,1,101.0,18,0.0
98,casual,1,100.0,18,0.0
99,casual,1,97.0,18,0.0
100,casual,1,148.0,18,0.0
101,casual,1,283.0,10,0.0
102,casual,1,129.0,18,0.0
103,casual,1,86.0,18,0.0
104,casual,1,84.0,18,0.0
105,casual,1,77.5,18,0.0
106,casual,1,109.5,18,0.0
107,casual,1,126.5,26,3.0
108,casual,1,134.5,18,0.0
109,casual,1,118.0,26,3.0
110,casual,1,120.0,18,0.0
111,casual,1,134.0,18,0.0
112,casual,1,118.5,18,0.0
113,casual,1,185.5,18,0.0
114,casual,1,96.0,18,0.0
115,casual,1,121.0,26,3.0
116,casual,1,322.0,18,3.0
117,casual,1,144.5,26,3.0
118,casual,1,300.5,10,0.0
119,casual,1,114.0,18,0.0
120,casual,1,118.5,18,0.0
121,casual,1,154.5,18,0.0
122,casual,1,329.5,10,0.0
123,casual,1,106.0,18,0.0
124,casual,1,318.0,10,0.0
125,casual,1,90.5,18,0.0
126,casual,1,114.5,18,0.0
127,casual,1,320.5,10,0.0
128,casual,1,311.5,10,0.0
129,casual,1,120.5,18,0.0
130,casual,1,103.5,26,3.0
131,casual,1,76.5,18,0.0
132,casual,1,138.0,26,3.0
133,casual,1,103.0,26,3.0
134,casual,1,75.0,18,0.0
135,casual,1,54.5,18,0.0
136,casual,1,107.5,18,0.0
137,casual,1,84.0,18,0.0
138,casual,1,58.0,18,0.0
139,casual,1,97.0,18,0.0
140,casual,1,100.0,26,3.0
141,casual,1,123.5,26,3.0
142,casual,1,254.0,10,0.0
143,casual,1,110.5,18,0.0
144,casual,1,108.0,26,3.0
145,casual,1,84.0,18,0.0
146,casual,1,106.0,26,3.0
147,casual,1,91.5,18,0.0
148,casual,1,56.5,18,0.0
149,casual,1,165.0,18,0.0
150,casual,1,111.0,18,0.0
151,casual,1,75.5,18,0.0
152,casual,1,71.0,18,0.0
153,casual,1,298.0,10,0.0
154,casual,1,330.0,10,0.0
155,casual,1,84.0,18,0.0
156,casual,1,100.0,18,0.0
157,casual,1,135.5,18,0.0
158,casual,1,121.0,18,0.0
159,casual,1,119.0,26,3.0
